product_id,product_name,price
613,Սենդվիչ Ծովախեցգետնով,2416.67
614,Սենդվիչ Պիցցա,1900
615,Սենդվիչ Ռոլ Սաղմոնով,3000
616,Սենդվիչ Սաղմոնով,1500
617,Սենդվիչ Վետչինայով,850
618,Սև Սուրճ ,181.64
619,Սթեյք Սենդվիչ,1497.41
620,Սթեյք Քաբաբ,2000
621,Սիգ Գաթա,1000
622,Սիցիլիա Պիցցա,2300
623,Սլավոնական  Կաղամբով,150
624,Սլավոնական Կարտոֆիլով,200
625,Սլավոնական Հավով,500
626,Սլավոնական Մսով,400
627,Սլավոնական Պանրով,300
628,Սլավոնական Վետչինա Պանրով,350
629,Սմբուկ Խորոված,500
630,Սմբուկի Ռուլետ ընկույզով,1650
631,Սմբուկի Ռուլետ Քամած Մածունով,1100
632,Սմբուկի Ռուլետ Ֆետայով ,1650
633,Սմբուկով Ռուլետ,198
634,Սյակե Մակի,1900
635,Սնկով Աղցան,1000
636,Սնկով Կրեմ ,1200
637,Սոբա Ծովամթերքով,3500
638,Սոբա Հավով,2200
639,Սոլյանկա,1211.36
640,Սոյայի Ծիլերով Աղցան,980.65
641,Սոուս Բանջարեղենային,100
642,Սոուս Կարմիր Կծու,100
643,Սոուս Սխտորի,100
644,Սուշի Սաղմոնով,900
645,Սուրճ Սև,385
646,Սուրճ Օրանժ,1300
647,Սպագետտի,400
648,Սպագետտի ,307.14
649,Սպագետտի Լանչի,250
650,Սպանախով Խինկալի,300
651,Սպանախով Ռուլետ,300
652,Սպաս,602.9
653,Սպիտակ Սոուս,100
654,"Սպրայթ 0,25լ",385
655,"Սպրայթ 0,5",450
656,Վաֆլի Նյուտելլայով,1500
657,Վեգան Սենդվիչ,700
658,Վեգետերյան Պիցցա ,2100
659,Վենեցիա Պիցցա,2300
660,Վերմիշել,265
661,Վինեգրետ  Լանչի,300
662,Տալյատելե,400
663,Տապակած Աստղաշուշան,800
664,Տապակած Բանջար,450
665,Տապակած Բանջարեղեն,660.71
666,Տապակած Դդմիկ,556.25
667,Տապակած Լոբի ,670
668,Տապակած Կախասունկ ,973.81
669,Տապակած Կախասունկ Փոքր Բաժին,600
670,Տապակած Կարտոֆիլ ,1641.67
671,Տապակած Սիբեխ,1300
672,Տապակած Սիբեխ Փոքր բաժին,650
673,Տապակած Սպանախ,950
674,Տավարի Լանգետ,1300
675,Տավարի Շաուրմա,1400
676,Տավարի Շաուրմա Ափսե,2000
677,Տավարի Շաուրմա Թոնրի Հացով ,1597.42
678,Տավարի Շաուրմա Լավաշով,1797.19
679,Տավարի Շաուրմա Մեծ,1800
680,Տարտ Ընկույզով,800
681,Տաք Ռոլլ Օձաձկով,3300
682,Տժվժիկ,1000
683,Տժվժիկ Լանչի,300
684,Տիրամիսու,900
685,Տյորենի Կոմպոտ,246.34
686,Տնական Բալի Կոմպոտ ,1628.57
687,Տնական Դեղձի Կոմպոտ ,1650
688,Տնական Թան,990
689,Տնական Թթու,1650
